tweet_id,timestamp,text,tags
647912497450606592,2015-09-26 23:15:51 +0000,I'm grateful for the teachers who helped spark my sense of curiosity. The #62MillionGirls who aren't in school should have that same chance.,
679773729749078016,2015-12-23 21:21:01 +0000,I'm proud of the @NBA for taking a stand against gun violence. Sympathy for victims isn't enough – change requires all of us speaking up.,
687081708886355968,2016-01-13 01:20:19 +0000,"I'm treating this last State of the Union just like my first - because I'm still just as hungry. I hope you tune in, because it's for you.",
693818704019193860,2016-01-31 15:30:44 +0000,"If you or someone you care about needs affordable health coverage, head over to https://t.co/A3qPizu4p2. Today's the last day to sign up!",
708345011037798400,2016-03-11 17:33:05 +0000,"Immigrants can now apply online to renew their green cards faster, and prep for the citizenship civics test online.",
629030795299147776,2015-08-05 20:46:43 +0000,Important detail – there are no secret deals. My staff can brief you on any question about any part of the deal. https://t.co/UO0B5xCOPh,
621084469970214914,2015-07-14 22:30:51 +0000,"In 1980, there were 500,000 people in American jails. Today, there are 2.2 million. Many belong. But too many are nonviolent offenders.",
689840513852137477,2016-01-20 16:02:49 +0000,"In 2009, auto sales hit a 27-year low. Last year, they hit an all-time high. https://t.co/pDc8W8mtb5",
643883952093073408,2015-09-15 20:27:51 +0000,"In 2009, our auto industry was flatlining. Now our workers are on pace to sell more American cars and trucks than any year since 2001.",
600388258665787392,2015-05-18 19:51:30 +0000,"In Camden today, seeing first-hand how smart policing is making the community safer while building trust. http://t.co/3MiWk43c8g",
611993830980747265,2015-06-19 20:27:54 +0000,"In the midst of darkest tragedy, the decency and goodness of the American people shines through in these families. https://t.co/aYtAKrWwCY",
637733790090199040,2015-08-29 21:09:18 +0000,"In Treme, I was inspired by the progress &amp; people 10 years after Katrina. It gives us hope, but our work isn't done. http://t.co/LDqsARhnZt",
757763701101490176,2016-07-26 02:25:19 +0000,"Incredible speech by an incredible woman. Couldn't be more proud &amp; our country has been blessed to have her as FLOTUS. I love you, Michelle.","[tweet, president, 2016]"
750379001546416128,2016-07-05 17:21:09 +0000,"Incredible! After a 5-year journey, we're up close and personal with our solar system's largest planet. Welcome to Jupiter, @NASAJuno!","[tweet, president, 2016]"
611675003436843008,2015-06-18 23:20:59 +0000,Inspired by what @Pontifex wrote on climate change. Agree we have a moral responsibility to act to protect our kids and God's creation.,
703359876483977217,2016-02-26 23:23:57 +0000,"Isiah, I'm so proud of you. Your kindness and willingness to help others is why I'm so hopeful for our future. https://t.co/RakSNxe7rk","[tweet, president, 2016]"
617430014422843392,2015-07-04 20:29:21 +0000,"It doesn't get much better than celebrating America with the people you love. Happy Fourth of July, everyone!",
